INDEX,Venue ID,Cluster ID,Event Lon,Event Lat,Tags,,
0,1405887,5,-79.949497,40.445651,group,work,many
1,23558137,0,-79.965431,40.426212,group,work,many
2,1477047,0,-79.956929,40.44156,group,work,many
3,1056614,0,-79.926748,40.442868,amp,tour,cruise
4,1074457,0,-79.959778,40.436726,please,also,tickets
5,24013067,0,-79.926727,40.442986,pm,show,comedy
6,23691216,0,-79.957092,40.441185,group,work,many
7,23999255,0,-79.992828,40.421104,church,st,mass
8,20771402,0,-79.932976,40.451439,pm,show,comedy
9,1085669,7,-80.054848,40.626677,happy,pm,hour
10,816398,0,-79.932838,40.451405,us,event,community
11,674917,7,-80.059784,40.633533,group,work,many
12,12495712,0,-79.958191,40.43631,please,may,come
13,11251872,0,-79.923264,40.433186,game,play,players
14,14215392,0,-79.995888,40.440624,group,work,many
15,17778672,0,-80.066353,40.395706,us,games,sign
16,861615,0,-80.128343,40.333846,church,st,mass
17,120810,0,-79.93,40.450001,us,games,sign
18,674828,1,-79.929955,40.45672,us,games,sign
19,24143509,0,-79.89283,40.430172,music,jazz,concert
20,738078,0,-79.893478,40.430318,pm,show,comedy
21,7670402,6,-79.992615,40.446491,university,pm,center
22,377244,0,-79.989998,40.450001,please,also,tickets
23,24143497,0,-79.94142,40.45707,church,st,mass
24,13138812,0,-79.765609,40.565886,university,pm,center
25,1226521,0,-79.604248,40.547119,event,food,amp
26,948011,0,-79.980113,40.432181,park,august,free
27,969038,0,-79.820946,40.356025,skate,class,pm
28,12956142,0,-79.967049,40.471539,well,come,us
29,112937,0,-79.740486,40.416378,well,come,us
30,23747461,4,-80.024765,40.411114,us,event,community
31,1161333,3,-80.034774,40.368731,pm,parking,meet
32,14701002,0,-79.983452,40.451618,pm,parking,meet
33,23942660,0,-79.954361,40.436604,pm,parking,meet
34,23802318,0,-79.932846,40.434605,well,come,us
35,24192160,7,-79.999702,40.440929,happy,pm,hour
36,563624,0,-79.982964,40.45155,well,come,us
37,18517682,0,-79.966438,40.462868,vegan,food,raw
38,23722927,0,-79.965073,40.427895,film,life,world
39,8040282,0,-79.560028,40.566906,park,august,free
40,6642862,0,-79.997032,40.597488,park,outdoor,mall
