Venue,Month,EID,Topic,Count
674828,8,dsnpzjytlbjc,woman,1
674828,8,dsnpzjytlbjc,night,1
674828,8,dsnpzjytlbjc,tennis,1
674828,8,dsnpzjytlbjc,toastmasters,1
674828,8,dsnpzjytlbjc,workshop,1
674828,8,dsnpzjytlbjc,st,1
674828,8,dsnpzjytlbjc,indoor,1
674828,8,dsnpzjytlbjc,club,1
674828,8,dsnpzjytlbjc,elks,1
674828,8,dsnpzjytlbjc,yoga,1
674828,9,dsnpzjytmbfc,indoor,1
674828,9,dsnpzjytmbfc,night,1
674828,9,dsnpzjytmbfc,woman,1
674828,9,dsnpzjytmbfc,st,1
674828,9,dsnpzjytmbfc,elks,1
674828,9,dsnpzjytmbfc,yoga,1
674828,9,dsnpzjytmbfc,tennis,1
674828,9,dsnpzjytmbfc,club,1
674828,9,dsnpzjytmbfc,workshop,1
674828,9,dsnpzjytmbfc,toastmasters,1
674828,9,dsnpzjytmbmb,indoor,1
674828,9,dsnpzjytmbmb,elks,1
674828,9,dsnpzjytmbmb,club,1
674828,9,dsnpzjytmbmb,workshop,1
674828,9,dsnpzjytmbmb,st,1
674828,9,dsnpzjytmbmb,tennis,1
674828,9,dsnpzjytmbmb,yoga,1
674828,9,dsnpzjytmbmb,toastmasters,1
674828,9,dsnpzjytmbmb,woman,1
674828,9,dsnpzjytmbmb,night,1
674828,10,dsnpzjytnbcc,yoga,1
674828,10,dsnpzjytnbcc,elks,1
674828,10,dsnpzjytnbcc,woman,1
674828,10,dsnpzjytnbcc,tennis,1
674828,10,dsnpzjytnbcc,club,1
674828,10,dsnpzjytnbcc,indoor,1
674828,10,dsnpzjytnbcc,st,1
674828,10,dsnpzjytnbcc,toastmasters,1
674828,10,dsnpzjytnbcc,night,1
674828,10,dsnpzjytnbcc,workshop,1
674828,10,dsnpzjytnbkb,elks,1
674828,10,dsnpzjytnbkb,yoga,1
674828,10,dsnpzjytnbkb,tennis,1
674828,10,dsnpzjytnbkb,club,1
674828,10,dsnpzjytnbkb,workshop,1
674828,10,dsnpzjytnbkb,night,1
674828,10,dsnpzjytnbkb,st,1
674828,10,dsnpzjytnbkb,toastmasters,1
674828,10,dsnpzjytnbkb,woman,1
674828,10,dsnpzjytnbkb,indoor,1
674828,11,dsnpzjytpbgb,toastmasters,1
674828,11,dsnpzjytpbgb,tennis,1
674828,11,dsnpzjytpbgb,yoga,1
674828,11,dsnpzjytpbgb,indoor,1
674828,11,dsnpzjytpbgb,club,1
674828,11,dsnpzjytpbgb,workshop,1
674828,11,dsnpzjytpbgb,st,1
674828,11,dsnpzjytpbgb,woman,1
674828,11,dsnpzjytpbgb,elks,1
674828,11,dsnpzjytpbgb,night,1
674828,12,dsnpzjytqbvb,woman,1
674828,12,dsnpzjytqbvb,tennis,1
674828,12,dsnpzjytqbvb,workshop,1
674828,12,dsnpzjytqbvb,toastmasters,1
674828,12,dsnpzjytqbvb,elks,1
674828,12,dsnpzjytqbvb,yoga,1
674828,12,dsnpzjytqbvb,indoor,1
674828,12,dsnpzjytqbvb,st,1
674828,12,dsnpzjytqbvb,club,1
674828,12,dsnpzjytqbvb,night,1
674828,1,dsnpzjyvcbkc,club,1
674828,1,dsnpzjyvcbkc,night,1
674828,1,dsnpzjyvcbkc,elks,1
674828,1,dsnpzjyvcbkc,toastmasters,1
674828,1,dsnpzjyvcbkc,st,1
674828,1,dsnpzjyvcbkc,tennis,1
674828,1,dsnpzjyvcbkc,woman,1
674828,1,dsnpzjyvcbkc,indoor,1
674828,1,dsnpzjyvcbkc,yoga,1
674828,1,dsnpzjyvcbkc,workshop,1
674828,1,dsnpzjyvcbrb,workshop,1
674828,1,dsnpzjyvcbrb,club,1
674828,1,dsnpzjyvcbrb,yoga,1
674828,1,dsnpzjyvcbrb,indoor,1
674828,1,dsnpzjyvcbrb,st,1
674828,1,dsnpzjyvcbrb,toastmasters,1
674828,1,dsnpzjyvcbrb,woman,1
674828,1,dsnpzjyvcbrb,elks,1
674828,1,dsnpzjyvcbrb,tennis,1
674828,1,dsnpzjyvcbrb,night,1
674917,11,226032225,conversation,1
674917,11,226032225,free,1
674917,11,226032225,coffee,1
674917,11,226032225,concert,1
674917,11,226032225,music,1
674917,11,226032225,beginning,1
674917,11,226032225,walk,1
674917,11,226032225,park,1
674917,11,226032225,tree,1
674917,11,226032225,jazz,1
674917,1,lcszmlyvcbcc,coffee,1
674917,1,lcszmlyvcbcc,concert,1
674917,1,lcszmlyvcbcc,conversation,1
674917,1,lcszmlyvcbcc,jazz,1
674917,1,lcszmlyvcbcc,music,1
674917,1,lcszmlyvcbcc,free,1
674917,1,lcszmlyvcbcc,tree,1
674917,1,lcszmlyvcbcc,beginning,1
674917,1,lcszmlyvcbcc,park,1
674917,1,lcszmlyvcbcc,walk,1
674917,1,lcszmlyvcbsb,jazz,1
674917,1,lcszmlyvcbsb,tree,1
674917,1,lcszmlyvcbsb,coffee,1
674917,1,lcszmlyvcbsb,walk,1
674917,1,lcszmlyvcbsb,concert,1
674917,1,lcszmlyvcbsb,free,1
674917,1,lcszmlyvcbsb,park,1
674917,1,lcszmlyvcbsb,conversation,1
674917,1,lcszmlyvcbsb,beginning,1
674917,1,lcszmlyvcbsb,music,1
674917,12,lrhqmlytqbnb,beginning,1
674917,12,lrhqmlytqbnb,walk,1
674917,12,lrhqmlytqbnb,jazz,1
674917,12,lrhqmlytqbnb,tree,1
674917,12,lrhqmlytqbnb,free,1
674917,12,lrhqmlytqbnb,park,1
674917,12,lrhqmlytqbnb,conversation,1
674917,12,lrhqmlytqbnb,coffee,1
674917,12,lrhqmlytqbnb,concert,1
674917,12,lrhqmlytqbnb,music,1
674917,1,lrhqmlyvcbkb,music,1
674917,1,lrhqmlyvcbkb,walk,1
674917,1,lrhqmlyvcbkb,jazz,1
674917,1,lrhqmlyvcbkb,park,1
674917,1,lrhqmlyvcbkb,beginning,1
674917,1,lrhqmlyvcbkb,coffee,1
674917,1,lrhqmlyvcbkb,conversation,1
674917,1,lrhqmlyvcbkb,tree,1
674917,1,lrhqmlyvcbkb,free,1
674917,1,lrhqmlyvcbkb,concert,1
674917,8,mffljlytlbbc,coffee,1
674917,8,mffljlytlbbc,support,1
674917,8,mffljlytlbbc,cup,1
674917,8,mffljlytlbbc,conversation,1
674917,8,mffljlytlbbc,level,1
674917,8,mffljlytlbbc,group,1
674917,8,mffljlytlbbc,bible,1
674917,8,mffljlytlbbc,beginner,1
674917,8,mffljlytlbbc,intermediate,1
674917,8,mffljlytlbbc,study,1
674917,8,mffljlytlbjb,cup,1
674917,8,mffljlytlbjb,conversation,1
674917,8,mffljlytlbjb,group,1
674917,8,mffljlytlbjb,bible,1
674917,8,mffljlytlbjb,support,1
674917,8,mffljlytlbjb,intermediate,1
674917,8,mffljlytlbjb,coffee,1
674917,8,mffljlytlbjb,beginner,1
674917,8,mffljlytlbjb,study,1
674917,8,mffljlytlbjb,level,1
674917,8,mffljlytlbkc,coffee,1
674917,8,mffljlytlbkc,walk,1
674917,8,mffljlytlbkc,music,1
674917,8,mffljlytlbkc,beginning,1
674917,8,mffljlytlbkc,tree,1
