VenueID,Event ID,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Month
674828,dsnpzjytlbjc,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,8
674828,dsnpzjytmbfc,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,9
674828,dsnpzjytmbmb,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,9
674828,dsnpzjytnbcc,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,10
674828,dsnpzjytnbkb,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,10
674828,dsnpzjytpbgb,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,11
674828,dsnpzjytqbvb,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,12
674828,dsnpzjyvcbkc,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,1
674828,dsnpzjyvcbrb,time,make,speakers,starting,opportunities,keep,next,learn,conversation,open,1
674917,226032225,la,gallery,pa,fly,masked,quality,bill,et,images,little,11
674917,lcszmlyvcbcc,work,journey,prepare,year,journeying,people,use,want,across,see,1
674917,lcszmlyvcbsb,theme,records,information,suggestions,help,present,websites,using,etc,real,1
674917,lrhqmlytqbnb,theme,records,information,suggestions,help,present,websites,using,etc,real,12
674917,lrhqmlyvcbkb,theme,records,information,suggestions,help,present,websites,using,etc,real,1
674917,mffljlytlbbc,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,8
674917,mffljlytlbjb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,8
674917,mffljlytlbkc,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,8
674917,mffljlytlbrb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,8
674917,mffljlytmbgc,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,9
674917,mffljlytmbnb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,9
674917,mffljlytmbwb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,9
674917,zdzdllytnbcb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,10
674917,zdzdllytnbdc,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,10
674917,zdzdllytnblb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,10
674917,zdzdllytnbtb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,10
674917,zdzdllytpbhb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,11
674917,zdzdllytpbjc,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,11
674917,zdzdllytpbqb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,11
674917,zdzdllytpbzb,group,coffee,conversation,beginning,intermediate,please,else,month,ch,pour,11
728332,226893733,amp,support,membership,nonprofit,interested,attend,ideas,ways,questions,groups,1
838852,223573755,group,back,want,work,whats,holding,discussion,hope,anxiety,open,8
838852,224331499,love,help,energy,healing,living,spirit,others,receive,meditation,life,9
838852,224724359,voice,please,group,interested,circle,space,seminar,learn,every,setting,10
838852,224724377,group,back,want,work,whats,holding,discussion,hope,anxiety,open,11
