"Index","Venue.ID","Cluster.ID","Event.Lon","Event.Lat"
"1",0,1405887,5,-79.949497,40.445651
"2",1,23558137,0,-79.965431,40.426212
"3",2,1477047,5,-79.956929,40.44156
"4",3,1056614,5,-79.926748,40.442868
"5",4,1074457,5,-79.959778,40.436726
"6",5,24013067,5,-79.926727,40.442986
"7",6,23691216,5,-79.957092,40.441185
"8",7,23999255,5,-79.992828,40.421104
"9",8,20771402,5,-79.932976,40.451439
"10",9,1085669,5,-80.054848,40.626677
"11",10,816398,5,-79.932838,40.451405
"12",11,674917,5,-80.059784,40.633533
"13",12,12495712,5,-79.958191,40.43631
"14",13,11251872,5,-79.923264,40.433186
"15",14,14215392,5,-79.995888,40.440624
"16",15,17778672,5,-80.066353,40.395706
"17",16,861615,5,-80.128343,40.333846
"18",17,120810,5,-79.93,40.450001
"19",18,674828,5,-79.929955,40.45672
"20",19,24143509,5,-79.89283,40.430172
"21",20,738078,5,-79.893478,40.430318
"22",21,7670402,5,-79.992615,40.446491
"23",22,377244,7,-79.989998,40.450001
"24",23,24143497,5,-79.94142,40.45707
"25",24,13138812,5,-79.765609,40.565886
"26",25,1226521,5,-79.604248,40.547119
"27",26,948011,5,-79.980113,40.432181
"28",27,969038,5,-79.820946,40.356025
"29",28,12956142,5,-79.967049,40.471539
"30",29,112937,5,-79.740486,40.416378
"31",30,23747461,5,-80.024765,40.411114
"32",31,1161333,5,-80.034774,40.368731
"33",32,14701002,5,-79.983452,40.451618
"34",33,23942660,5,-79.954361,40.436604
"35",34,23802318,5,-79.932846,40.434605
"36",35,24192160,5,-79.999702,40.440929
"37",36,563624,5,-79.982964,40.45155
"38",37,18517682,5,-79.966438,40.462868
"39",38,23722927,0,-79.965073,40.427895
"40",39,8040282,5,-79.560028,40.566906
"41",40,6642862,0,-79.997032,40.597488
"42",41,23831562,0,-79.969124,40.47515
"43",42,3774262,5,-79.559685,40.563766
"44",43,18630612,5,-79.948845,40.443424
"45",44,24138037,0,-80.108086,40.365986
"46",45,18225742,5,-79.958076,40.436008
"47",46,8687792,5,-79.892113,40.438137
"48",47,24078122,5,-79.956444,40.44154
"49",48,6598742,1,-80.024681,40.410015
"50",49,24067793,5,-79.95192,40.44355
"51",50,23877731,5,-80.11061,40.336674
"52",51,2096281,0,-80.005302,40.453037
"53",52,158916,5,-79.941635,40.45604
"54",53,19584142,5,-79.752747,40.43412
"55",54,17223972,6,-79.997398,40.441811
"56",55,1438873,5,-79.984559,40.429133
"57",56,23410252,0,-80.035835,40.393921
"58",57,4643142,0,-79.925354,40.460972
"59",58,19765222,5,-80.036903,40.393036
"60",59,23934258,5,-80.119026,40.340977
"61",60,7821902,5,-79.958496,40.46777
"62",61,10559182,5,-79.946754,40.46014
"63",62,24024786,4,-80.003014,40.453072
"64",63,18095142,5,-79.911499,40.458885
