"Num","Group.ID","Event.ID","Event.City","Event.Address","Event.Lon","Event.Lat"
"1",3695742," qclgsjytlbcb","","",NA,NA
"2",556378,"224173211"," Fulton"," 11550 Scaggsville Rd",-76.914127,39.149934
"3",1741675,"224283852"," Baltimore"," 6908 Belair Rd.",-76.527779,39.357463
"4",1041517,"224317884"," Columbia"," Hyla Brook Road",-76.86171,39.224598
"5",364389," gkrcglytlbcb"," Columbia"," Route 108 (Clarksville Pike) and Woodland Road",-76.848129,39.239487
"6",1712980," qtzkmcytlbcb","","",NA,NA
"7",9975902," dqhbmkytlbcb"," Baltimore"," Charles Street and Mount Vernon Place",-76.615829,39.297318
"8",977618,"224205670"," Catonsville"," 1171 S Rolling Rd",-76.721522,39.248561
"9",1563498,"224237798"," Baltimore"," 2801 St. Lo Drive",-76.586998,39.318386
"10",13304312,"224262428"," Baltimore"," 2801 Saint Lo Dr",-76.587234,39.318642
"11",18313791," hhllflytlbcb","","",NA,NA
"12",18249006," kxldjlytlbcb"," Baltimore"," 27 S Patterson Park Ave",-76.584656,39.291243
"13",13731182," nppvhlytlbcb"," Columbia"," 6455 Dobbin Rd.",0,0
"14",1679859," pzhvglytlbcb"," Cockeysville"," 13555 Beaver Dam Rd",-76.685379,39.496475
"15",13731182," wqgxclytlbcb"," Columbia"," 6455 Dobbin Rd.",0,0
"16",2775772,"223719562"," Chester"," Piney Narrows Road Chester MD 21619",0,0
"17",1741675,"223754057"," Baltimore"," Baltimore",-76.53183,39.258221
"18",13234942,"224307889"," Catonsville"," 800 South Rolling Road",-76.728474,39.255352
"19",4831692," mvhvglytlbcb"," Columbia"," 10275 Wincopin Circle",-76.85659,39.216549
"20",1712980," pmxhvytlbcb"," Columbia"," 9130F Red Branch Road",-76.818268,39.232128
"21",1804196,"223575961"," Baltimore"," 7400 Graces Quarters Rd",-76.354118,39.348286
"22",476983,"220145224","","",NA,NA
"23",15497222,"222957593"," Hanover"," 7651 Arundel Mills Blvd",-76.726036,39.152564
"24",2500372,"223552169","","",NA,NA
"25",16489602,"224058680"," Crofton"," 1667 Crofton Centre Suite 4 Crofton Maryland",-76.690842,39.011921
"26",10458782,"224124544"," Columbia"," 5440 Old Tucker Row",-76.887398,39.222301
"27",3408932,"224152413"," Reisterstown"," 5513 Deer Park Road",-76.840263,39.421211
"28",18554305,"224234170","","",NA,NA
"29",15973912," mkggflytlbcb"," Odenton"," 8274 Telegraph Rd",-76.694977,39.096104
"30",3357142," mlbkglytlbcb","","",NA,NA
"31",18350080," jrpxdlytlbcb","","",NA,NA
"32",990927,"223625269"," Annapolis"," 2474 Solomon\'s Island Road",-76.542465,38.974907
"33",18274547," sdgxhlytlbcb"," Annapolis"," 2072 Sommerville Rd",-76.536835,38.981178
"34",1330116,"223950778"," Monkton"," Monkton Rd",-76.613876,39.577564
"35",10458782,"224124474"," Columbia"," 5440 Old Tucker Row",-76.887398,39.222301
"36",2775772,"224219603","","",NA,NA
"37",4487662," rrnpjlytlbcb"," Severn"," 512 Shaw Court Unit 105",-76.668846,39.148037
"38",18668027," tfjqjlytlbcb","","",NA,NA
"39",4954982," ctmjglytlbcb","","",NA,NA
"40",16261092,"223617293"," Columbia "," 8201 Snowden Avenue",-76.819069,39.182892
"41",7554772,"224204624"," Baltimore"," 1718 Belmont Avenue (Suite B)",-76.746719,39.315968
"42",3695742," pgbbglytlbcb"," Baltimore"," 101 W Fayette St",-76.617104,39.289883
"43",18649465," snnrhlytlbcb"," Columbia"," 10000 State Route 108.",-76.858368,39.238003
"44",18675006," jxbbjlytlbcb"," Catonsville"," 800 S Rolling Rd",-76.729958,39.256466
"45",1368799,"223247374"," Annapolis"," Downtown",-76.492183,38.978445
"46",18377925,"224208209"," Annapolis"," Downtown",-76.492183,38.978445
"47",15973912," lkxfjlytlbcb"," Odenton"," 8274 Telegraph Rd",-76.694977,39.096104
"48",18468114,"223874695"," Owings Mills"," 6 Restaurant Drive",-76.794411,39.404224
"49",13304312,"224225034"," Lutherville"," 1719 York Rd",-76.620369,39.427818
"50",1563498,"224225064"," Lutherville"," 1719 York Rd",-76.620369,39.427818
"51",3446832," dlcrgfytlbcb"," Baltimore"," 409 N Charles St",-76.615253,39.294572
"52",12513372," lpwvflytlbcb"," Baltimore"," 5851 York Road 21212",-76.60994,39.362984
"53",63757," qwwkrfytlbcb"," Baltimore "," 200 International Drive",-76.602074,39.282852
"54",9822922," qxqjxjytlbcb"," Baltimore"," 6305 Greenspring Ave",-76.681931,39.370789
"55",18217750,"223224467"," Baltimore"," 1711 North Charles Street",-76.615997,39.30925
"56",6937072,"223388828"," Linthicum"," (address will be mailed to those RSVP)",-76.652748,39.205109
"57",18552999,"224186297"," Rosedale"," 7 Damian Ct  apt  3B",-76.468466,39.351508
"58",18578143,"223116128"," Timonium"," 2 Oakway Road",-76.625351,39.439014
"59",46921,"223413233","","",NA,NA
"60",18670516,"223967038"," Baltimore"," 300 Light St",-76.614594,39.284885
"61",1802842,"224080346"," Baltimore"," 10 Art Museum Dr",-76.61962,39.32493
"62",220231,"224127212"," Baltimore"," 509 S. Broadway",-76.593033,39.285271
"63",18670516,"224232988"," Baltimore"," 300 Light St",-76.614594,39.284885
"64",11127312,"224002810"," Baltimore"," 10 Market Pl",-76.606728,39.288448
"65",14703772," sgqshlytlbdb"," Columbia"," 9159-F Red Branch Road ",-76.821205,39.230469
"66",1707582,"224208721"," Severn"," Bwi Trail",-76.6629,39.162174
"67",1628848," mjvtglytlbdb"," Annapolis"," 2700 Riva Road",-76.561996,38.973225
"68",4573252,"222895171"," Baltimore"," 6410 Landay Ave",-76.536087,39.304077
"69",1919681,"223933484"," Annapolis"," 2002 Annapolis Mall",-76.548576,38.989574
"70",17316882,"224096576"," Columbia"," 6175 Sunny Spring",-76.884605,39.207018
"71",1569746," dmdzrdytlbdb"," Severna Park"," 552 I Ritchie Highway",-76.545822,39.077278
