Venue ID,Event Venue,Event City,Event Address,Event Lon,Event Lat
112937,Heritage Park (Monroeville Dog Park),Monroeville, 2364 Saunders Station Road,-79.740486,40.416378
120810,Harris Grill,Pittsburgh, 5747 Ellsworth Avenue,-79.93,40.450001
158916,Ritters Diner Inc,Pittsburgh, 5221 Baum Blvd,-79.941635,40.45604
216309,Forward Lanes,Pittsburgh, 5844 Forward Ave,-79.92202,40.42939
283798,Thunderbird Cafe,Pittsburgh, 4023 Butler St,-79.96153,40.469307
293803,Frick Art & Historical Center/ Gardens,Pittsburgh, 7227 Reynolds St,-79.90286,40.446342
294173,Peterswood Park,Venetia, Meredith Dr,-80.062147,40.278449
295623,Schenley Plaza,Pittsburgh, 4100 Forbes Ave,-79.95211,40.443535
296303,Mt. Lebanon Park,Pittsburgh, 900 Cedar Blvd,-80.05629,40.375282
305109,Double Wide Grill,Pittsburgh, 2339 East Carson Stree,-79.971313,40.428505
308361,Coffee Tree Roasters,Pittsburgh, 5524 Walnut St,-79.932852,40.451375
313464,Arsenal Park,Pittsburgh, 40th St,-79.96139,40.46793
322450,South Side Works,Pittsburgh, 445 S 27th St,-79.965805,40.42825
335676,Moon Park,Coraopolis, 1350 Ewing Rd,-80.18604,40.491043
340062,Moon Township Library,Coraopolis, 1700 Beaver Grade Rd,-80.201454,40.496674
348633,Monterey Bay Fish Grotto,Pittsburgh, 1411 Grandview Ave,-80.021259,40.439104
359436,Market Square,Pittsburgh, 5 Market Square,-80.002556,40.440346
370414,Te Cafe,Pittsburgh, 2000 Murray Ave,-79.92284,40.43475
376852,MARILYN\'S,Wexford, 9848 COVERED WAGON CT,-80.045403,40.591145
377244,Benedum Center,Pittsburgh, 719 Liberty Avenue,-79.989998,40.450001
377249,Bella Luna Trattoria,Monroeville, 5060 William Penn Hwy,-79.70598,40.428116
420074,Duff Park,Murrysville, 4528 School Rd. S.,-79.668866,40.422007
434364,Game Masters,Pittsburgh, 3439 Babcock Blvd,-80.02695,40.541824
436550,Manor Theater,Pittsburgh, 1729 Murray Ave.,-79.92298,40.437756
445926,Silvioni's Restaurant (North Hills),Pittsburgh, 2125 Babcock Blvd,-79.99313,40.510593
487882,El Campesino,Canonsburg, 4175 Washington Rd.,-80.13265,40.263077
503666,Carmike Cinema,Greensburg, Behind Westmoreland Mall,-79.546242,40.308125
556179,Carson City Saloon,Pittsburgh, 1401 E. Carson Street,-79.98416,40.42882
558189,Tana Ethiopian Cuisine,Pittsburgh, 5929 Baum Blvd,-79.92682,40.46045
563624,Chicken Latino,Pittsburgh, 155 21st St. (Strip District) Pittsburgh PA,-79.982964,40.45155
570488,Mitchell's Fish Market,Pittsburgh, 1500 Washington Rd.,-80.050385,40.355923
604556,Birmingham Bridge Tavern,Pittsburgh, 2901 Sarah Street,-79.964493,40.424572
674802,New Hazlett Theater,Pittsburgh, 6 Allegheny Square E,-80.003494,40.452225
674810,Friends Meeting House,Pittsburgh, 4836 Ellsworth Ave,-79.94622,40.44937
674812,Double Wide Grill,Pittsburgh, 2339 E Carson St,-79.972336,40.428295
674813,Heinz History center,Pittsburgh, 1212 Smallman St,-79.9929,40.44648
674826,Brillobox,Pittsburgh, 4104 Penn Ave,-79.95517,40.46565
674828,Crazy Mocha,Pittsburgh, 5830 Ellsworth Ave,-79.929955,40.45672
674831,Andy Warhol Museum ,Pittsburgh, 117 Sandusky St,-80.002678,40.448498
674836,Benedum Center For the Performing Arts,Pittsburgh, 719 Liberty Ave,-79.99923,40.44261
674837,Arsenal Lanes,Pittsburgh, 212 44th St,-79.959435,40.471226
674839,Animal Friends,Pittsburgh, 562 Camp Horne Rd,-80.079155,40.522995
674849,Melwood Screening Room,Pittsburgh, 477 Melwood Ave,-79.95312,40.455513
674850,Greentree Library,Pittsburgh, 10 W Manilla Ave,-80.04676,40.418262
674855,Vincent's Greentree,Pittsburgh, 333 Mansfield Ave,-80.05061,40.42152
674857,Mullaney\'s Harp and Fiddle,Pittsburgh, 2329 Penn Ave,-79.98126,40.452984
674917,Panera Bread,Wexford, 12071 Perry Hwy,-80.059784,40.633533
680153,Bethel Park Library,Bethel Park, 5100 W Library Ave,-80.031073,40.332137
684981,Carnegie Library Main (Oakland),Pittsburgh, 4400 Forbes Ave,-79.949267,40.444139
686157,Colonial Grille,Irwin, 333 Main St,-79.710684,40.332601
687679,Pittsburgh Zoo,Pittsburgh, 7340 Butler St,-79.920074,40.487856
688927,Rolands Seafood Grill,Pittsburgh, 1904 Penn Ave,-79.984238,40.450736
689526,PNC PARK,Pittsburgh, North Shore,-80.013532,40.445305
695692,Old Monroeville Community Park (East),Municipality of Monroeville, Tilbrook Rd,-79.763003,40.420027
698205,Carnegie Museum of Art and Natural History,Pittsburgh, 4400 Forbes Ave,-79.949265,40.444138
706466,Carnegie Mellon University,Pittsburgh, 5000 Forbes Ave,-79.942892,40.444579
706800,Lucky Paws,Freedom, 2273 Lovi Rd,-80.164513,40.685226
708815,South Park Amphitheatre,South Park, Brownsville Rd,-80.007857,40.290488
710425,Mario's Southside Saloon,Pittsburgh, 1510 E Carson St,-79.983083,40.428711
715722,Cafe on Main,Pittsburgh, 914 Main St,-79.933078,40.494775
718429,Starlite,Blawnox, Freeport Rd,-79.860798,40.494005
721440,Lower Frick Park Parking Lot,Pittsburgh, 1000 Lancaster Ave,-79.898384,40.431808
722961,Heinz Field,Pittsburgh, Heinz Field,-80.015787,40.446835
723199,Highland Park,Pittsburgh, N Highland Ave & Reservoir Dr,-79.915873,40.478916
725985,Bahama Breeze,Robinson Township, Center Ave,-80.090848,40.414105
727351,Quaker Steak and Lube,Pittsburgh, 110 Andrew Dr,-80.176316,40.449835
728332,Panera Bread - Waterworks Plaza,Pittsburgh, 942 Freeport Rd,-79.889904,40.486623
729514,National Aviary,Pittsburgh, W Commons,-80.007393,40.451449
730778,Penn Brewery,Pittsburgh, 800 Vinial St,-79.991354,40.456737
731596,Sharp Edge Beer Emporium,Pittsburgh, 302 S St Clair St,-79.930554,40.459939
734936,Riverview Park,Pittsburgh, Riverview Ave,-80.019478,40.48073
735248,The National Aviary,Pittsburgh, 700 Arch Street,-80.008889,40.452368
736900,Heinz Field,Pittsburgh, 100 Art Rooney Ave,-80.013533,40.445308
737341,FunFest Entertainment Center,Pittsburgh, 2525 Freeport Rd,-79.844237,40.534455
738078,Wilkins School Community Center,Pittsburgh, 7604 Charleston Ave,-79.893478,40.430318
738722,Hard Rock Cafe,Pittsburgh, W Station Square Dr,-80.011029,40.436614
740042,North Park,Gibsonia, 1330 Wildwood Road,-79.979666,40.594669
741322,Eleven Bar & Restaurant,Pittsburgh, 1150 Smallman Street,-79.993592,40.446026
743063,Church Brew Works,Pittsburgh, 3525 Liberty Ave,-79.964433,40.462031
747935,Altar Bar,Pittsburgh, 1620 Penn Ave,-79.98683,40.449086
754565,Western Pennsylvania Humane Society,Pittsburgh, 1101 Western Ave,-80.020084,40.451172
758454,Cinemagic Manor Theater,Pittsburgh, 1729 Murray Ave,-79.922964,40.437173
763021,Heinz Hall,Pittsburgh, 600 Penn Ave,-80.002187,40.442724
764397,East Liberty Presbyterian Church,Pittsburgh, 116 S Highland Ave,-79.924953,40.460681
765467,Olive Garden Greentree,Pittsburgh, 971 Greentree Rd,-80.045679,40.419139
765794,Carnegie Library - East Liberty,Pittsburgh, 130 S Whitfield St,-79.926158,40.461067
766103,Schenley Park Visitors Center,Pittsburgh, Panther Hollow Rd,-79.946985,40.437485
770074,Fern Hollow Nature Center,Sewickley, 1901 Glen Mitchell Rd,-80.147957,40.546413
770903,Pittsburgh Opera in the Strip,Pittsburgh, 2425 Liberty Ave,-79.979337,40.453454
783159,Regent Square Theater,Pittsburgh, 1035 S Braddock Ave,-79.894225,40.433416
793132,The Royal Place,Pittsburgh, 2660 Library Rd,-80.001712,40.379138
795889,Gaetano's Restaurant,Pittsburgh, 1617 Banksville Rd,-80.031599,40.409787
807439,Claddagh Irish Pub (Southside Works),Pittsburgh, 407 Cinema Dr,-79.964952,40.428202
808122,The Galleria,Mt. Lebanon, Washington Rd,-80.049419,40.369177
810447,Redbeards Bar,Pittsburgh, 201 Shiloh St,-80.00739,40.430716
813884,Getaway Cafe,Pittsburgh, 3049 Sussex Ave,-80.015935,40.384331
814077,Carnegie Library of Pittsburgh - Homewood Branch,Pittsburgh, 7101 Hamilton Ave,-79.899214,40.455284
816398,Coffee Tree Roaster / Meeting Room / Shadyside,Pittsburgh, 5524 Walnut St,-79.932838,40.451405
822670,Applebee's - Robinson,Pittsburgh, 6570 Steubenville Pike,-80.16129,40.448326
833058,Big Dog Coffee,Pittsburgh, 2717 Sarah St,-79.966716,40.425941
833132,Mattress Factory,Pittsburgh, 500 Sampsonia Way,-80.012404,40.456794
835698,Houlihans,Pittsburgh, 100 Robinson Centre Drive,-80.160244,40.455791
836419,The Waterfront,Homestead, Waterfront Dr W,-79.919512,40.406871
838852,Panera Bread - Robinson,Pittsburgh, 250 McHolme Drive,-80.173676,40.449253
851461,Carnegie Library (Downtown),Pittsburgh, 612 Smithfield Street,-79.997498,40.441809
852775,Hard Rock Cafe,Pittsburgh, Station Square,-80.003711,40.432542
854288,The Union Project,Pittsburgh, 801 N. Negley Ave.,-79.926278,40.471529
855999,Primanti Brother's,Pittsburgh, 4501 Steubenville Pike ,-80.099023,40.444439
856403,Wooden Nickel,Monroeville, 4006 Berger Ln,-79.772346,40.437237
858565,Buckhead Saloon,Pittsburgh, 225 Station Square,-80.003711,40.432542
861615,Fairview Park South Fayette Twp,Bridgeville, Greenwood Dr. and Lawnshadow Dr.,-80.128343,40.333846
870565,Carmike 10,Pittsburgh, 700 Fort Couch Road,-80.060246,40.349517
872309,Frick Fine Arts Auditorium,Pittsburgh, University of Pittsburgh,-79.959839,40.444595
874396,Harris Grill,Pittsburgh, 5747 Ellsworth Ave ,-79.931259,40.455925
879741,First Unitarian Church of Pittsburgh in Shadyside,Pittsburgh, Corner of Morewood and Ellsworth,-79.943053,40.450916
881726,Rock Bottom Brewery & Restaurant,Homestead, 171 E. Bridge St.,-79.918668,40.407738
882028,Carnegie Library Lawrenceville,Pittsburgh, 279 Fisk Street,-79.959229,40.467636
882044,Carnegie Library Squirrel Hill,Pittsburgh, 5801 Forbes Avenue,-79.922536,40.438137
889145,Willow Restaurant and Lounge,Pittsburgh , 634 Camp Horne Road,-80.076578,40.521193
911421,Hofbrauhaus Pittsburgh,Pittsburgh, 2705 S. Water Street,-79.957462,40.423227
912901,Fat Heads Saloon,Pittsburgh, 1805 E. Carson St.,-79.980269,40.428945
917920,Heinz Field East and West Club Lounges,Pittsburgh, 100 Art Rooney Ave,-80.013533,40.445308
919415,Frick Park,Pittsburgh, Forbes Avenue,-79.951054,40.44384
925227,Panera,Monroeville, 4172 William Penn Hwy,-79.7652,40.438831
931277,Bellefield Auditorium ,Pittsburgh, 315 S. Bellefield Ave ,-79.951683,40.445962
937447,Redbeards Bar,Pittsburgh, 211 Shiloh St,-80.007369,40.430364
938297,Al's Cafe,Bethel Park, 435 McMurray Road,-80.065841,40.312354
945930,Cedar Creek Park,Rostraver, Route 51,-79.802686,40.175531
946879,Green Forest Cafe Brazilian Resaurant and Lounge,Penn Hills , 655 Rodi Road,-79.827838,40.446745
948011,South Side Riverfront Park,Pittsburgh, 1 South 18th Street,-79.980113,40.432181
948333,Chatham University Eddy Theater,Pittsburgh, 102-104 Woodland Rd.,-79.923445,40.447242
949143,The Cabana Bar at the Oxford Club,Wexford, 100 Village Club Drive ,-80.052842,40.633237
951390,Hamilton Park,Castle Shannon, Terrace Drive,-80.019729,40.362014
952689,Monroeville Public Library,Monroeville , 4000 Gateway Campus Boulevard,-79.752569,40.430062
953762,REI - Southside Works,Pittsburgh, 412 S 27th St ,-79.966125,40.427979
955603,August Wilson Center,Pittsburgh, 980 Liberty Avenue ,-79.996123,40.443417
965994,Pittsburgh Zoo and PPG Aquarium,Pittsburgh, One Wild Place,-79.920021,40.483208
967422,North Versailles Bowling Center,North Versailles, 356 Lincoln Highway,-79.818502,40.381905
969027,South Park,South Park, Offleash Upper Parking Lot,-79.997589,40.292603
969038,White Oak Dog Park,White Oak, 15131 White Oak Park,-79.820946,40.356025
977544,Carnegie Museum of Art,Pittsburgh, 4400 Forbes Ave,-79.949267,40.444139
978650,Panera Bread,Oakland, 3800 Forbes Avenue,-79.95681,40.441555
981790,Mount Lebanon Public Library,Pittsburgh, 16 Castle Shannon Blvd ,-80.045384,40.377195
985429,Greater Pittsburgh Masonic Center,Pittsburgh, 3579 Masonic Way,-80.143122,40.528487
986923,Riverview Park,Pittsburgh, 1 Riverview Ave,-80.014664,40.484368
987285,Bangkok Balcony,Pittsburgh, 5846 Forbes Ave. Squirrel Hill,-79.921325,40.437857
987649,Kennywood Park,West Mifflin, Kennywood Drive,-79.870812,40.393505
992314,Northshore River Front Water Steps,Pittsburgh, 247 North Shore Drive,-80.011673,40.445869
995195,Brookline Library ,Pittsburgh, 708-710 Brookline Blvd.,-80.02137,40.394427
997536,Millvale River Front Park,Millvale, 70 River Front Drive,-79.971167,40.473103
997661,Flagstaff Hill,Pittsburgh, 4800 Frew Street,-79.948149,40.440809
998130,ESSpa Kozmetika Organic Skincare & Spa,Pittsburgh, 17 Brilliant Avenue,-79.901321,40.48931
1001537,The Taj Mahal Restaurant,Pittsburgh, 7795 McKnight Road,-80.018405,40.547767
1003830,Fox Chapel Yacht Club - Baja Bar and Grill,Pittsburgh, 1366 Old Freeport Road,-79.877235,40.486952
1005490,Cranberry Community Park,Cranberry Twp, Ernie Mashuda Dr ,-80.107038,40.711842
1006725,Schenley Park Flagstaff Hill,Pittsburgh, 4500 Schenley Dr.,-79.947199,40.440169
1009923,Atria's,Wexford, 12980 Perry Highway,-80.065811,40.640814
1012242,Fuel & Fuddle,Pittsburgh, 212 Oakland Ave,-79.956594,40.441229
1013607,The Space Upstairs,Pittsburgh, 214 North Lexington Street,-79.899085,40.449691
1015384,Panera Bread,Pittsburgh, 400 Penn Center Blvd,-79.811892,40.428055
1017057,Hartwood Acres Amphitheater,Allison Park, 4000 Middle Road,-79.928058,40.569818
1035990,Diesel Club Lounge,Pittsburgh, 1601 E. Carson Street,-79.982594,40.429036
1038240,Panera Bread (Shadyside),Pittsburgh, 5430 Centre Avenue,-79.937332,40.456172
1043807,Crazy Mocha,Pittsburgh, 2100 Murray Ave,-79.923204,40.433531
1043879,Allegheny Cemetery,Pittsburgh, 4734 Butler Street ,-79.95767,40.47459
1051762,Crazy Mocha Coffee Co,Squirrel Hill, Corner of Murray Ave and Hobart St,-79.922977,40.433716
1054771,Hollywood Theater,Dormont, 1449 Potomac Avenue,-80.035239,40.39618
1055186,Dormont Pool,Dormont, 1801 Dormont Avenue,-80.043927,40.397388
1056614,Wightman School Community Building,Pittsburgh, 5604 Solway Street,-79.926748,40.442868
1059488,The Oaks Theater,Oakmont, 310 Allegheny River Boulevard,-79.842896,40.515626
1060183,Primanti Brothers,Pittsburgh, 46 18th St,-79.985589,40.450736
1063928,Hough\'s Sports Bar,Pittsburgh, 563 Greenfield Ave,-79.940277,40.426213
1074457,Cathedral of Learning ,Pittsburgh, University of Pittsburgh,-79.959778,40.436726
1079908,Hambones,Pittsburgh, 4207 Butler St,-79.960493,40.470458
1080982,Keystone Oaks High School,Pittsburgh, 1000 Kelton Ave,-80.03451,40.388942
1082935,Olive Garden - Bethel Park,Bethel Park, 6000 Oxford Drive,-80.050133,40.348042
1085669,The Cabana Bar,Wexford, Oxford Club,-80.054848,40.626677
1092762,Camp Bow Wow,Pittsburgh, 971 Killarney Dr.,-80.006336,40.374626
1095802,South Park Dog Park,South Park, Buffalo Drive,-79.995861,40.305406
1099760,Legacy Lanes,Pittsburgh, 5024 Curry Rd,-79.995625,40.349767
1102185,Carnegie Music Hall,Pittsburgh, 4400 Forbes Ave,-79.950626,40.443628
1104022,Bethel Park Community Center ,Bethel Park, 5151 Park Avenue,-80.029228,40.331112
1108438,Our Lady Of the Angels,Pittsburgh, 225 37th Street ,-79.963923,40.465831
1114957,Elk\'s Lodge 339,Pittsburgh, 400 Cedar Avenue,-80.000799,40.451826
1120340,Absolute Ballroom Dancing,Pittsburgh, 6617 Hamilton Ave,-79.909891,40.457782
