1, Stretch and flex with Barre in the Parks. Schenley Plaza Oakland!,40.443535,-79.95211,North Oakland,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
2, End of Summer Block Party at Carnegie Library Pittsburgh-Woods Run,40.476238,-80.030357,Marshall-Shadeland,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
3, Salsa Dance classes @ Youtopia Studio: Beginner Cuban style salsa!,40.435703,-79.922905,Squirrel Hill South,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
4, Introduction to Urban Beekeeping,40.44175,-79.99752,Central Business District,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
5," Free Movie:""Interstellar"" at Flagstaff Hill!",40.440169,-79.947199,Squirrel Hill South,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
6, Rooftop Power Flow at SkyBAR,40.428871,-79.982552,South Side Flats,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
7, Free Concert Hartwood Acres-Eileen Ivers w Heather Kropf! Celtic Folk Music!,40.569818,-79.928058,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Hampton township,Allegheny County
8, Sassafras Grove Lughnassadh Games and Ritual,40.608727,-80.006732,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",McCandless township,Allegheny County
9, Donation Yoga Class at Dobra Tea in Squirrel Hill,40.434963,-79.922806,Squirrel Hill South,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
10, Overcoming Trauma,40.44175,-79.99752,Central Business District,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
11, Frick Environmental Center Public Hard Hat Tour,40.43597,-79.909081,Squirrel Hill South,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
12, Join us for Caf Scientifique on Monday August 10!,40.446014,-80.017593,Chateau,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
13, Banjo Night!   at Elk's Club every Wed in Northside!  Very cool event!,40.451826,-80.000799,East Allegheny,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
14, Drinking Liberally Pittsburgh Monthly Gathering,40.459939,-79.930554,East Liberty,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
15, Yoga at the Library (Dormont South Hills),40.394169,-80.035957,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Dormont borough,Allegheny County
16, Free Concert: Friday on the Front Steps @New Hazlett Theater,40.45224,-80.006554,Allegheny Center,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
17, $5 Improv Comedy,40.4430326,-79.998586,Central Business District,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
18, See the Battle of Bushy Run,40.353489,-79.623558,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Penn township,Westmoreland County
