"Get your ideas or business UNSTUCK ","40.461357","-79.924568","Zeke s Coffee","6012 Penn Ave","2015-03-09 07:00"
"NEW CLASSES Advanced Beginners","40.430318","-79.893478","Wilkins School Community Center","7604 Charleston Ave","2015-03-09 11:00"
"Level 24 - Buddha Says Wake Up ","40.692699","-80.105698","Quantum Counseling Services","One Landmark North Suite 205A 20399 Route 19 Brandt Drive","2015-03-09 12:00"
"Zumba Class ","40.408634","-79.99115","Temple Baptist Church","743 Brownsville Rd","2015-03-09 16:30"
"Squirrel Hill Writers Group","","","","","2015-03-09 17:00"
"Pilates Mat Class","40.408634","-79.99115","Temple Baptist Church","743 Brownsville Rd","2015-03-09 17:15"
"Monday March 9 2015 - Membership Meeting Grazie Event Center","40.633961","-80.050583","Grazie Restaurant and Event Center","100 Village Club Dr","2015-03-09 18:00"
"Trivia in Monroeville Plum- Monday Night ","","","","","2015-03-09 18:00"
"Interactive computing with live notebooks IHaskell demo and workshop","40.444366","-79.94558","Heinz College - Hamburg Hall","4800 Forbes Avenue","2015-03-09 18:00"
"Photo Editing Workshop --interest inquiry only","","","","","2015-03-10 11:00"
"The Poisoner s Handbook - FREE DOCUMENTARY ","40.44175","-79.99752","Carnegie Library of Pittsburgh - Downtown and Business Branch","612 Smithfield Street","2015-03-10 11:15"
"Scrapbooking Tuesday 2nd Tuesday of the Month.","40.565886","-79.765609","PUGDOG S Rock and Bead Shop","933 Fifth Avenue","2015-03-10 16:00"
"Book Club","40.303905","-79.544739","The White Rabbit Cafe and Patisserie","113 N. Main St.","2015-03-10 16:30"
"Tuesday Movie Only - The Second Best Exotic Marigold Hotel","40.570404","-80.01837","Cinemark North Hills and XD (McCandless Crossing) ","851 Providence Boulevard","2015-03-10 16:30"
"TypeScript - What is it and how can I use it ","40.448093","-80.003136","Microsoft Corporation","30 Isabella St 202","2015-03-10 16:30"
"Pattern Practice Carnegie Evenings","40.406994","-80.085823","Andrew Carnegie Free Library and Music Hall","300 Beechwood Avenue","2015-03-10 17:00"
"Sketching an Installation Starbucks in Market Square","40.440247","-80.002228","Starbucks","7 Market Sq (Market Square)","2015-03-10 17:00"
"Aspinwall Toastmasters Open House","40.485355","-79.886032","Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238","500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238","2015-03-10 17:00"
"Mah Jong in Shadyside (Note We also have beginner class tonight )","40.456543","-79.915108","Panera Bread - Bakery Square","136 Bakery Square Blvd (aka 6425 Penn Ave)","2015-03-10 17:00"
"Mah Jong 101 - intro for beginners","40.438339","-79.997467","Panera Bread 4344 136 Bakery Square","(aka 6425 Penn Ave)","2015-03-10 17:00"
"Free public Speaking and Leadership Open House Toastmaster s Intl. in Aspinwall ","40.485355","-79.886032","Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238","500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238","2015-03-10 17:00"
"Plant-based Nutrition Support Group (east Pgh.)","40.455193","-79.666946","Murrysville Community Library","4130 Sardis Rd","2015-03-10 17:30"
"AmpersandJS","40.461296","-79.923386","Bessemer Alliance","6101 Penn Ave Suite 601","2015-03-10 17:30"
"Intermediate Italian (Evening class)","40.430318","-79.893478","Wilkins School Community Center","7604 Charleston Ave","2015-03-10 17:45"
