id,venue,lat,lon,neighborhood
0,Zeke s Coffee,40.461357,-79.924568,Shadyside
1,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
2,Quantum Counseling Services,40.692699,-80.105698,
3,Temple Baptist Church,40.408634,-79.99115,Bon Air
4,Temple Baptist Church,40.408634,-79.99115,Bon Air
5,Grazie Restaurant and Event Center,40.633961,-80.050583,
6,Heinz College - Hamburg Hall,40.444366,-79.94558,Central Oakland
7,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752,
8,PUGDOG S Rock and Bead Shop,40.565886,-79.765609,
9,The White Rabbit Cafe and Patisserie,40.303905,-79.544739,
10,Cinemark North Hills and XD (McCandless Crossing) ,40.570404,-80.01837,
11,Microsoft Corporation,40.448093,-80.003136,
12,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823,
13,Starbucks,40.440247,-80.002228,Mount Washington
14,Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238,40.485355,-79.886032,Lincoln-Lemington-Belmar
15,Panera Bread - Bakery Square,40.456543,-79.915108,Squirrel Hill North
16,Panera Bread 4344 136 Bakery Square,40.438339,-79.997467,South Shore
17,Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238,40.485355,-79.886032,Lincoln-Lemington-Belmar
18,Murrysville Community Library,40.455193,-79.666946,
19,Bessemer Alliance,40.461296,-79.923386,Shadyside
20,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
21,Bella Frutteto,40.615174,-80.092667,
22,Duke s Rib House and Grille,40.394966,-80.06115,
23,Olive or Twist,40.4432,-80.00244,
24,En Garde Fencing Club ,40.496241,-79.94392,
25,Cathedral of Learning (by the 1st floor Elevators),40.444649,-79.952599,West Oakland
26,Olive or Twist,40.4432,-80.00244,
27,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
28,L.L.Bean Store at Ross Park Mall,40.54271,-80.00949,
29,CHS Oakland Community Pantry,40.433662,-79.961472,South Side Flats
30,La Casa Narcisi Winery,40.613205,-79.900291,
31,Carnegie Library of Pittsburgh - Downtown and Business,40.441776,-79.997383,
32,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
33,Latitude 40,40.446178,-80.177849,
34,Holistic Approach 4 Life,40.328297,-80.12561,
35,Panera,40.436432,-79.958084,
36,Summa,40.460442,-79.926735,Shadyside
37,Crazy Mocha - (412) 521-1056,40.432976,-79.917404,Squirrel Hill South
38,Magee-Womens Hospital Auditorium Level Zero,40.434307,-79.953354,
39,Quantum Counseling Services,40.692699,-80.105698,
40,Lot 17,40.46257,-79.950127,Upper Hill
41,Crazy Mocha,40.45672,-79.929955,Shadyside
42,East End Food Co-Op,40.448215,-79.895462,Point Breeze
43,East End Food Co-Op,40.448452,-79.895866,Point Breeze
44,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
45,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
46,Smiling Moose,40.428715,-79.984962,Allentown
47,Smiling Moose,40.428715,-79.984962,Allentown
48,Adam s Ridge Clubhouse,40.684216,-80.050003,
49,Pittsburgh Marriott City Center,40.439758,-79.991226,
50,Marriott City Center - Pittsburgh,40.439758,-79.992439,
51,Bethel Park Library,40.332137,-80.031073,
52,A Mother s Boutique,40.6254298,-80.0537051,
53,Mt. Lebanon Public Library,40.37701,-80.045265,
54,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
55,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
56,Kings Family Restaurant,40.256481,-80.150963,
57,Hofbr uhaus Pittsburgh,40.427914,-79.965233,South Side Slopes
58,Claddagh Irish Pub (Southside Works),40.428202,-79.964952,South Side Slopes
59,Claddagh Irish Pub,40.428202,-79.964952,South Side Slopes
60,Claddagh Irish Pub,40.428202,-79.964952,South Side Slopes
61,Panera Bread,40.633533,-80.059784,
62,M Modal,40.437515,-79.92305,Squirrel Hill South
63,Performance Bicycle,40.458889,-79.917595,Shadyside
64,En Garde Fencing Club ,40.496241,-79.94392,
65,Pittsburgh Technology Council,40.434158,-79.970299,South Side Flats
