"Index","Venue.ID","Event.Venue","Event.City","Event.Address","Event.Lon","Event.Lat"
"1",0,1405887,"Razzy Fresh","Pittsburgh"," 300 S. Craig St.",-79.949497,40.445651
"2",1,23558137,"Crazy Mocha Coffee Company","Pittsburgh"," 2809 E Carson St",-79.965431,40.426212
"3",2,1477047,"Panera Bread","Oakland"," 3800 Forbes Avenue",-79.956929,40.44156
"4",3,1056614,"Wightman School Community Building","Pittsburgh"," 5604 Solway Street",-79.926748,40.442868
"5",4,1074457,"Cathedral of Learning ","Pittsburgh"," University of Pittsburgh",-79.959778,40.436726
"6",5,24013067,"Wightman School Community Building","Pittsburgh"," 5604 Solway St",-79.926727,40.442986
"7",6,23691216,"Revv Oakland","Pittsburgh"," 3710 Forbes Ave.",-79.957092,40.441185
"8",7,23999255,"RE360 World Headquarters ","Pittsburgh"," 829 Industry Street",-79.992828,40.421104
"9",8,20771402,"Jam on Walnut","Pittsburgh"," Corner of Filbert St. and Walnut Street",-79.932976,40.451439
"10",9,1085669,"The Cabana Bar","Wexford"," Oxford Club",-80.054848,40.626677
"11",10,816398,"Coffee Tree Roaster / Meeting Room / Shadyside","Pittsburgh"," 5524 Walnut St",-79.932838,40.451405
"12",11,674917,"Panera Bread","Wexford"," 12071 Perry Hwy",-80.059784,40.633533
"13",12,12495712,"Panera Bread","Pittsburgh"," 3401 Boulevard of the Allies",-79.958191,40.43631
"14",13,11251872,"Tan Lac Vien","Pittsburgh"," 2114 Murray Ave (Squirrel Hill)",-79.923264,40.433186
"15",14,14215392,"ONLINE - WEBINAR","Pittsburgh"," Comfort of your Home or Office",-79.995888,40.440624
"16",15,17778672,"Panera Bread","Pittsburgh"," 1900 Greentree Road",-80.066353,40.395706
"17",16,861615,"Fairview Park South Fayette Twp","Bridgeville"," Greenwood Dr. and Lawnshadow Dr.",-80.128343,40.333846
"18",17,120810,"Harris Grill","Pittsburgh"," 5747 Ellsworth Avenue",-79.93,40.450001
"19",18,674828,"Crazy Mocha","Pittsburgh"," 5830 Ellsworth Ave",-79.929955,40.45672
"20",19,24143509,"Mondo Italiano","Pittsburgh"," 7604 Charleston Avenue",-79.89283,40.430172
"21",20,738078,"Wilkins School Community Center","Pittsburgh"," 7604 Charleston Ave",-79.893478,40.430318
"22",21,7670402,"Senator John Heinz History Center","Pittsburgh"," 1212 Smallman Street",-79.992615,40.446491
"23",22,377244,"Benedum Center","Pittsburgh"," 719 Liberty Avenue",-79.989998,40.450001
"24",23,24143497,"Bloomfield Post Office","Pittsburgh"," 5182 Liberty Avenue",-79.94142,40.45707
"25",24,13138812,"PUGDOG'S Rock and Bead Shop","New Kensington"," 933 Fifth Avenue",-79.765609,40.565886
"26",25,1226521,"Kunkle Park","Apollo"," 285 Pine Run Church Rd.",-79.604248,40.547119
"27",26,948011,"South Side Riverfront Park","Pittsburgh"," 1 South 18th Street",-79.980113,40.432181
"28",27,969038,"White Oak Dog Park","White Oak"," 15131 White Oak Park",-79.820946,40.356025
"29",28,12956142,"Bernard Dog Run","Pittsburgh"," 40th St Lawrenceville Trl",-79.967049,40.471539
"30",29,112937,"Heritage Park (Monroeville Dog Park)","Monroeville"," 2364 Saunders Station Road",-79.740486,40.416378
"31",30,23747461,"El Milagro","Pittsburgh"," 1542 Beechview Ave",-80.024765,40.411114
"32",31,1161333,"Cocina Mendoza Mexican Restaurant","Castle Shannon "," 300 Mt. Lebanon Blvd.",-80.034774,40.368731
"33",32,14701002,"Casa Reyna","Pittsburgh"," 2031 Penn Avenue",-79.983452,40.451618
"34",33,23942660,"AJ's Burger & Peruvian Rotisserie Chicken","Pittsburgh"," 422 Semple St",-79.954361,40.436604
"35",34,23802318,"Schenley Park - Camp David Lawrence Pavilion","Pittsburgh"," 5410 Bartlett St",-79.932846,40.434605
"36",35,24192160,"McCormick & Schmick's","Pittsburgh"," 301 Fifth Avenue",-79.999702,40.440929
"37",36,563624,"Chicken Latino","Pittsburgh"," 155 21st St. (Strip District) Pittsburgh PA",-79.982964,40.45155
"38",37,18517682,"Pittsburgh Juice Company","Pittsburgh"," 3418 Penn Avenue",-79.966438,40.462868
"39",38,23722927,"South Side Works Cinemas LP","Pittsburgh"," 425 Cinema Dr",-79.965073,40.427895
"40",39,8040282,"Steve\'s Place","Apollo"," 641 Canal Road",-79.560028,40.566906
"41",40,6642862,"North Park Lake","Pittsburgh"," Corner of Pearce Mill Road and Babcock Blvd.",-79.997032,40.597488
"42",41,23831562,"Millvale Riverfront Park Parking","15209"," 70 River Front Drive",-79.969124,40.47515
"43",42,3774262,"Roaring Run Trail ","Apollo"," Canal Road",-79.559685,40.563766
"44",43,18630612,"Carnegie Library of Pittsburgh - Main","Pittsburgh"," 4400 Forbes ",-79.948845,40.443424
"45",44,24138037,"Panera Bread","Bridgeville "," 1025 Washington Pike Bridgeville PA 15017",-80.108086,40.365986
"46",45,18225742,"Panera Bread","Pittsburgh"," 3401 Blvd Of The Allies",-79.958076,40.436008
"47",46,8687792,"Biddle's Escape","Pittsburgh"," 401 Biddle Avenue",-79.892113,40.438137
"48",47,24078122,"Panera Bread","Pittsburgh"," 3800 Forbes Ave",-79.956444,40.44154
"49",48,6598742,"Brew on Broadway","Pittsburgh"," 1557 Broadway Avenue",-80.024681,40.410015
"50",49,24067793,"Schenley Plaza","Pittsburgh"," 4100 Forbes Ave",-79.95192,40.44355
"51",50,23877731,"The Outdoor Classroom","Pittsburgh"," 1531 Mayview Rd",-80.11061,40.336674
"52",51,2096281,"The Tent at Schenley Plaza in Oakland","Pittsburgh"," Off Forbes Avenue near the Carnegie Library of Pittsburgh",-80.005302,40.453037
"53",52,158916,"Ritters Diner Inc","Pittsburgh"," 5221 Baum Blvd",-79.941635,40.45604
"54",53,19584142,"McGinnis Sisters Special Food Stores","Monroeville "," 4311 Northern Pike",-79.752747,40.43412
"55",54,17223972,"Carnegie Library of Pittsburgh - Downtown & Business Branch","Pittsburgh"," 612 Smithfield Street",-79.997398,40.441811
"56",55,1438873,"Schwartz Market","Pittsburgh"," 1317 East Carson St.",-79.984559,40.429133
"57",56,23410252,"Hollywood Lanes","Pittsburgh"," 2961 W Liberty Ave",-80.035835,40.393921
"58",57,4643142,"East Liberty Presbyterian Church","Pittsburgh"," 116 South Highland Avenue",-79.925354,40.460972
"59",58,19765222,"Mexi Casa","Pittsburgh"," 3001 W Liberty Ave",-80.036903,40.393036
"60",59,23934258,"Giant Eagle 2nd floor meeting room","Bridgeville"," 3239 Washington Pike ",-80.119026,40.340977
"61",60,7821902,"Stephen Foster Community Center","Pittsburgh"," 286 Main Street",-79.958496,40.46777
"62",61,10559182,"The Big Idea Cooperative Bookstore & Cafe","Pittsburgh"," 4812 Liberty Avenue",-79.946754,40.46014
"63",62,24024786,"Allegheny Commons East","Pittsburgh"," 255 E Ohio St",-80.003014,40.453072
"64",63,18095142,"East End Brewing Company","Pittsburgh"," 147 Julius St",-79.911499,40.458885
"65",64,1267847,"Unitarian Universalist Church of North Hills","Pittsburgh"," 2359 West Ingomar Road ",-80.081696,40.584347
"66",65,24077799,"Mellon Park","Pittsburgh "," Corner of 5th and Shady Ave Shadyside ",-79.920715,40.452885
"67",66,754565,"Western Pennsylvania Humane Society","Pittsburgh"," 1101 Western Ave",-80.020084,40.451172
"68",67,23995722,"Southside Works Cinema","Pittsburgh"," 425 Cinema Dr",-79.965309,40.427784
"69",68,23612354,"Murrysville Community Library","Murrysville"," 4130 Sardis Rd",-79.666946,40.455193
"70",69,23883039,"extraVEGANza Pgh","Pittsburgh"," 1317 E Carson Street",-79.984566,40.429131
"71",70,1450785,"Loving Hut","Pittsburgh"," 5474 Campbells Run Road",-80.158007,40.448456
"72",71,1254629,"First Unitarian Church","Pittsburgh"," 605 Morewood Avenue",-79.943,40.450757
"73",72,558189,"Tana Ethiopian Cuisine","Pittsburgh"," 5929 Baum Blvd",-79.92682,40.46045
"74",73,1122073,"Piper's Pub","Pittsburgh"," (Southside)",-79.97662,40.420841
