Group ID,Cluster ID
12750,1
23296,1
34277,2
46921,2
54545,2
63757,0
67679,0
115264,1
120090,1
126264,1
160858,0
161143,0
163684,1
166277,1
171952,2
216157,2
216199,0
220231,0
221930,1
234370,2
240153,2
305592,1
341910,1
342781,0
347566,0
355706,0
362261,0
364389,0
469229,0
476983,0
480494,0
489306,2
504817,0
510900,2
525471,1
525665,1
527589,1
529693,1
536305,0
556378,0
601613,0
610745,0
641217,0
671810,1
680089,1
754177,1
771425,2
780059,2
783965,1
829741,2
937363,0
970888,1
977618,0
990927,0
1000549,0
1010418,2
1041517,0
1043275,1
1087338,1
1099209,0
1194934,1
1204261,1
1259215,1
1280330,1
1286602,2
1286975,2
1290421,1
1303423,1
1307283,0
1309710,0
1330116,0
1360065,1
1362594,0
1368799,1
1374414,1
1387740,1
1395628,1
1409782,1
1430295,1
1434679,1
1447265,2
1479083,1
1482026,1
1482524,0
1483174,0
1483293,1
1486623,1
1487001,1
1488852,1
1489999,2
1504062,2
1508654,1
1508717,1
1527439,1
1543672,0
1548697,0
1563498,0
1566648,2
1569746,0
1583647,0
1595201,1
1600898,2
1602648,0
1611931,0
1618441,0
1622032,1
1628848,0
1634459,0
1635876,0
1639607,0
1641342,0
1653439,2
1655000,1
1657414,1
1657647,2
1673776,0
1679859,0
1684946,0
1689470,1
1690451,2
1694643,0
1697038,0
1697856,2
1707185,0
1707494,1
1707582,0
1712980,0
1716109,0
1721628,2
1724447,1
1729130,0
1730215,0
1735818,2
1738990,2
1741675,0
1744356,0
1755724,1
1757862,1
1769232,0
1772630,2
1773601,1
1777768,1
1778715,0
1782507,1
1789201,1
1789387,0
1792094,1
1792728,2
1797356,2
1802842,1
1804196,0
1827921,1
1853161,0
1897481,0
1919681,2
2026551,0
2033811,1
2062961,1
2063681,1
2089951,0
2150751,2
2232211,1
2327581,1
2368711,2
2386191,2
2500372,0
2519472,1
2523962,2
2586832,0
2590362,1
2616692,2
2775772,0
2878782,1
2949062,0
2956902,0
3023872,0
3037742,2
3042672,0
3068792,0
3113012,0
3155802,2
3206442,1
3267012,0
3296462,0
3345512,0
3357142,0
3369232,0
3408932,0
3446832,2
3479352,0
3504492,1
3542002,2
3572332,2
3600592,1
3604332,0
3609802,1
3684172,0
3684512,1
3695742,0
3703512,1
3755892,0
3846562,2
3912602,2
3925412,2
3946742,1
4057692,2
4076802,1
4092962,1
4119962,1
4145332,0
4180172,2
4203812,1
4206742,2
4287422,2
4292722,0
4329562,1
4349342,1
4396132,1
4413292,0
4418302,2
4467372,2
4484112,2
4487662,0
4491732,1
4511032,0
4515502,1
4573252,0
4620922,0
4646112,2
4652422,0
4695982,2
4731942,0
4791802,0
4831692,0
4927242,0
4954982,0
4961322,1
4975172,2
5009622,2
5097352,1
5193572,0
5199112,2
5199772,2
5364102,2
5409682,2
5473832,2
5505652,2
5764082,2
5954122,0
6008622,1
6133872,1
6167822,2
6195792,1
6244292,1
6326812,2
6432042,0
6444352,2
6520362,2
6555302,1
6595802,1
6682212,0
6728742,2
6779432,0
6801922,2
6861652,0
6913562,1
6937072,0
6942172,2
7172862,2
7198462,0
7222872,1
7230492,1
7236412,2
7292242,2
7328402,2
7379072,2
7431112,2
7467372,2
7554772,0
7633932,1
7747472,2
7748062,1
7846652,1
7924392,0
7939672,2
7980322,2
8044432,1
8267012,0
8323892,0
8583292,2
8640582,2
8654442,1
8720762,0
8736892,1
8915302,2
9020342,0
9036002,0
9192122,0
9211052,2
9332282,1
9399692,2
9403172,0
9407482,1
9441482,2
9497262,1
9499332,0
9726402,2
9738612,0
9822922,0
9865892,2
9975902,0
10021062,1
10058952,2
10149152,0
10188812,2
10198952,1
10200022,1
10235192,2
10236952,2
10237332,0
10310672,0
10458782,0
10497212,0
10524092,1
10542312,0
10574062,2
10588512,0
10620982,1
10622512,1
10641542,1
10753532,1
10762962,0
10987832,0
11007622,1
11058512,0
11091822,1
11127312,0
11221382,2
11264562,2
11334532,2
11341802,2
11365022,0
11428542,0
11454712,2
11458132,0
11461952,1
11492592,2
11501142,2
11511512,2
11625842,2
11675792,0
12027842,2
12058222,2
12140542,0
12202972,0
12273832,2
12333652,0
12446372,1
12513372,0
12574592,0
12725352,2
12854102,0
12887112,1
12976052,1
13049162,2
13058532,0
13070392,0
13087212,2
13172002,0
13173132,0
13174702,0
13201342,0
13231382,2
13234942,0
13290212,2
13304312,0
13309992,2
13443812,2
13454522,2
13527772,2
13530102,0
13531822,2
13556002,0
13556942,2
13561482,2
13595702,1
13649552,0
13651182,1
13685862,0
13706632,2
13731182,0
13733472,0
13880932,1
13896252,2
13951372,2
13979272,0
13980862,1
13996962,0
14022602,1
14028002,2
14038212,2
14303552,1
14330332,2
14337072,0
14380472,2
14473692,1
14478662,2
14556582,1
14638302,2
14703772,0
14708292,1
14740262,2
14860452,1
14884892,1
14940442,1
15085882,2
15264472,1
15290542,2
15305792,2
15481012,2
15497222,0
15587782,2
15760472,1
15850392,2
15877782,2
15883372,0
15911442,0
15923322,0
15968882,2
15973912,0
15988082,0
16121932,0
16211202,1
16261092,2
16320952,1
16372472,0
16393702,1
16489602,0
16508482,2
16566822,2
16600962,0
16621912,1
16622802,1
16674222,2
16726372,2
16730162,2
16773082,2
16791672,2
16853072,2
16854752,0
16856522,1
16920752,2
17034522,2
17060032,2
17072672,2
17095982,0
17110322,2
17120502,0
17141442,0
17176312,1
17217782,2
17224062,2
17224522,2
17273482,0
17316882,0
17364432,0
17394792,1
17417312,2
17421022,2
17441932,2
17473602,2
17502272,2
17531112,1
17539532,0
17589012,2
17616052,0
17623432,2
17640062,0
17721202,1
17731992,2
17798552,1
17812632,1
17815332,2
17841822,2
17841902,1
17857582,2
17874762,0
17909102,0
17917962,2
17925552,0
17963202,1
17977572,0
18092562,0
18100142,1
18170222,2
18182658,0
18183973,2
18190242,2
18195383,2
18198676,2
18198851,1
18200874,0
18200941,2
18202921,2
18205079,1
18217750,0
18221393,0
18224176,2
18224411,1
18231799,2
18241306,1
18241699,1
18246118,0
18249006,2
18257037,0
18259026,2
18261987,1
18274547,1
18276500,0
18287404,2
18288593,2
18288613,1
18291900,2
18293435,2
18300448,2
18313791,2
18314090,1
18322979,2
18326310,0
18326673,2
18334650,2
18334943,2
18350080,1
18350712,2
18358343,0
18360068,1
18369081,1
18369879,0
18371371,2
18375036,2
18377925,0
18381821,1
18387453,0
18389060,2
18390617,2
18395971,1
18396969,0
18398926,0
18402474,0
18403420,0
18413629,2
18414330,2
18418997,2
18419841,2
18420674,2
18428258,1
18431278,2
18433207,2
18437214,2
18441526,2
18441934,2
18444061,2
18446786,0
18451442,2
18452631,2
18452705,1
18458052,2
18458279,2
18458307,0
18467089,1
18468114,2
18470297,2
18471820,1
18479934,2
18482431,0
18484066,0
18491267,2
18494165,2
18501613,2
18507197,1
18507491,1
18509664,0
18510087,2
18515333,2
18520618,2
18521735,1
18521891,2
18522836,2
18524724,2
18525065,2
18526756,0
18527085,1
18527681,2
18530857,2
18531797,2
18533122,0
18535230,1
18535249,1
18535506,0
18535847,2
18541256,2
18541471,2
18542786,1
18542800,2
18542857,2
18550640,2
18551150,2
18551653,1
18552533,2
18552569,0
18552999,0
18554305,0
18555642,2
18563395,2
18564659,1
18564809,2
18566459,2
18567155,1
18567410,2
18567733,2
18567867,0
18573562,0
18578143,0
18588282,2
18589653,2
18590449,2
18593818,2
18603873,1
18604047,2
18605005,2
18608972,2
18609769,0
18610742,0
18612935,2
18615602,1
18618124,1
18627412,2
18631483,2
18639521,0
18641651,1
18642227,0
18646501,2
18649465,2
18656513,2
18656681,2
18657497,2
18668027,0
18670516,2
18675006,0
18676782,1
18678041,1
18684682,2
18685310,2
18686752,0
18686926,0
18688644,2
18690754,2
18701629,0
18701729,2
18705090,2
18706620,0
18707889,0
18708607,2
18709803,2
18710892,0
18719110,2
18719396,2
18721703,2
18731111,1
18732323,1
18734785,0
18738586,2
18741561,2
18744121,2
18746323,2
18749857,2
18750631,0
18750854,1
18753018,2
18753226,2
18754906,2
18760307,2
18764803,2
18766627,0
18772897,0
18773649,2
18775520,2
18780377,2
18782401,2
18782586,2
18784471,2
18785976,2
18786434,2
18788708,2
18789281,0
18797819,2
18799074,0
18810482,0
18814691,2
18817272,1
18819795,0
18820285,2
18827905,2
18829219,2
18829358,2
18830916,2
18831276,2
18832735,1
18832751,2
18835388,2
18835411,2
18838558,0
18838784,0
18838988,2
18841499,0
18850011,2
18850133,2
18852345,2
18852531,2
18855374,2
18856493,2
18857106,2
18857796,2
18858215,2
18861499,2
18863220,2
18864876,2
18867355,2
18867973,2
18872013,2
18873501,2
18878471,2
18880682,2
18881971,1
18882920,2
18885760,2
18889041,2
18889111,2
18889961,2
18890613,2
18894450,0
18895616,2
18895741,1
18901477,2
18906003,2
18907335,2
18928275,1
18930232,2
18930678,2
18930965,2
18931302,0
18931363,1
18932182,0
18932742,2
18934162,2
18941755,2
18944650,2
18950101,2
18950489,2
18953950,2
18955077,2
18955289,2
18957120,2
18957208,1
18957684,2
18960294,1
18961113,2
18961216,2
18962004,2
18964079,2
18966657,0
18976267,2
18977159,2
18977295,2
18977602,2
18978105,2
18983613,2
18983831,2
18991616,2
18992514,2
18993260,2
18997837,2
18998113,2
19002984,2
19011634,2
19014756,0
19019470,2
19021466,2
19024732,2
19024925,2
19028900,2
19032509,2
19046197,2
19046511,2
19050975,1
19052010,2
19059144,2
19060151,2
19062657,2
19065972,2
19066892,2
